cnt,flyState,setpoint.h [m],setpoint.pitch [deg],setpoint.roll [deg],setpoint.yaw [deg],motval_avg [frac],motval_0 [frac],motval_1 [frac],motval_2 [frac],motval_3 [frac],hor_velocities.xv,hor_velocities.yv,hor_velocities.dt,hor_velocities.seqNum,att.ts [s],att.ax [m/s^2],att.ay [m/s^2],att.az [m/s^2],att.gx [deg/s],att.filtered_gx [deg/s],att.gx_bias_kalman [deg/s],att.gy [deg/s],att.filtered_gy [deg/s],att.gy_bias_kalman [deg/s],att.gz [deg/s],att.hv [m/sec],att.h [m],att.pitch [deg],att.pitch_vel_kalman [deg/s],att.roll [deg],att.roll_vel_kalman [deg/s],att.yaw [deg],att.magx [deg],att.magy [deg],att.magz [deg],xPos [m],yPos [m],targetXVel [m/s],targetYVel [m/s],targetPitch [deg],targetRoll [deg],targetPitchVel [deg/s],targetRollVel [deg/s],adj_pitch,adj_roll,adj_yaw,adj_h
298,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.574829,-0.809325,0.665240,-9.672431,-9.532761,-9.417291,-0.672506,-0.549638,-0.400348,0.087342,4.683981,-0.055251,1.222980,-4.211048,1.519974,4.255033,-7.315607,5.324557,-57.000000,93.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
299,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.579833,-0.809325,0.665240,-9.672431,-9.593798,-9.512549,-0.669524,-0.732749,-0.532728,0.094440,4.745018,-0.055251,1.222980,-4.220234,1.373327,4.208489,-7.417984,5.348301,-57.000000,93.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.584777,-0.809325,0.665240,-9.672431,-9.410687,-9.495238,-0.667197,-0.793786,-0.641194,0.101353,4.500870,-0.055251,1.222980,-4.229856,1.228893,4.162599,-7.512095,5.370554,-63.000000,87.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
301,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.589782,-0.809325,0.665240,-9.672431,-9.349651,-9.475026,-0.665510,-0.854823,-0.736051,0.108088,4.256722,-0.055251,1.222980,-4.239856,1.087418,4.117368,-7.598262,5.391859,-63.000000,87.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
302,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.594757,-0.809325,0.665240,-9.672431,-9.227576,-9.393777,-0.664385,-0.976897,-0.837913,0.114632,4.073611,-0.055251,1.222980,-4.250250,0.948278,4.073019,-7.673059,5.412125,-59.000000,87.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
303,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.599914,-0.809325,0.665240,-9.749072,-8.983428,-9.247789,-0.663263,-1.098971,-0.929469,0.120408,3.585314,-0.063750,1.220940,-4.260424,0.812586,4.029319,-7.733533,5.430614,-59.000000,87.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
304,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.604919,-0.809325,0.665240,-9.672431,-8.739280,-9.078285,-0.663079,-1.037934,-0.997109,0.126610,3.219092,-0.063750,1.220940,-4.271425,0.680525,3.987295,-7.778146,5.446725,-62.000000,92.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
305,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.609863,-0.809325,0.665240,-9.672431,-8.373058,-8.834138,-0.663256,-0.915860,-1.014020,0.132691,2.852870,-0.063750,1.220940,-4.282483,0.555688,3.946748,-7.803583,5.460830,-62.000000,92.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
306,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.614837,-0.809325,0.588599,-9.672431,-8.067873,-8.542560,-0.656861,-0.915860,-0.990506,0.138686,2.486648,-0.063750,1.220940,-4.293441,0.440212,3.901070,-7.814948,5.473199,-61.000000,87.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
307,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.619842,-0.809325,0.588599,-9.749072,-7.762689,-8.234074,-0.650488,-0.671712,-0.888644,0.144100,2.181463,-0.063750,1.220940,-4.303439,0.339097,3.856794,-7.805857,5.484117,-61.000000,87.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
