seq,gx,gy,gz,ax,ay,az,mx,my,mz
3322,0.020,0.158,-0.030,-0.05,-0.01,-9.77,50,-54,12
3323,0.020,-0.147,-0.030,-0.05,-0.01,-9.77,50,-54,12
3324,-0.102,0.036,0.092,-0.05,-0.01,-9.77,48,-56,10
3325,-0.041,0.036,0.031,-0.05,-0.01,-9.77,48,-56,10
3326,0.020,-0.025,-0.091,-0.05,-0.01,-9.77,49,-51,9
3327,-0.041,-0.025,0.031,-0.05,-0.01,-9.77,49,-51,9
3328,-0.163,0.036,-0.030,-0.05,-0.01,-9.77,52,-48,12
3329,0.020,-0.086,0.031,-0.05,-0.01,-9.77,52,-48,12
3330,-0.102,0.036,-0.030,-0.05,-0.01,-9.77,51,-53,9
3331,0.020,-0.025,0.031,-0.05,-0.01,-9.77,51,-53,9
3332,0.020,-0.025,-0.030,-0.05,-0.09,-9.77,53,-53,13
3333,0.020,-0.086,-0.030,-0.05,-0.01,-9.77,53,-53,13
3334,-0.041,0.036,-0.091,-0.05,-0.01,-9.77,56,-54,6
3335,-0.041,0.036,0.031,0.03,-0.09,-9.77,56,-54,6
3336,-0.041,0.036,-0.030,0.03,-0.01,-9.77,49,-57,5
3337,0.020,-0.025,-0.030,0.03,-0.01,-9.77,49,-57,5
3338,0.020,0.036,0.092,0.03,-0.01,-9.77,48,-56,4
3339,-0.041,-0.025,-0.030,-0.05,-0.01,-9.77,48,-56,4
3340,-0.041,0.036,0.031,-0.05,-0.01,-9.77,49,-53,7
3341,0.081,-0.086,0.092,-0.05,-0.01,-9.77,49,-53,7
3342,-0.041,-0.025,0.031,0.03,-0.01,-9.77,51,-55,11
3343,-0.102,-0.147,-0.030,0.03,-0.01,-9.77,51,-55,11
3344,-0.041,0.036,-0.030,0.03,-0.01,-9.77,46,-50,12
3345,-0.041,-0.025,0.031,0.03,-0.01,-9.77,46,-50,12
3346,-0.041,-0.086,-0.091,0.03,-0.01,-9.77,45,-53,13
3347,0.081,0.036,0.031,0.03,-0.01,-9.77,45,-53,13
3348,0.020,0.036,-0.091,0.03,-0.01,-9.77,51,-51,5
3349,0.081,0.036,0.031,0.03,-0.01,-9.77,51,-51,5
3350,-0.041,0.158,-0.091,0.03,-0.01,-9.77,47,-55,11
3351,-0.041,0.036,0.092,0.03,-0.09,-9.85,47,-55,11
3352,0.020,0.158,-0.030,0.10,-0.01,-9.77,52,-50,14
3353,0.020,-0.086,0.031,0.10,-0.01,-9.77,52,-50,14
3354,-0.041,-0.025,-0.030,0.10,-0.01,-9.85,52,-52,6
3355,-0.041,0.036,0.031,0.10,-0.01,-9.85,52,-52,6
3356,-0.041,-0.147,-0.091,0.10,-0.01,-9.85,52,-52,8
3357,0.020,0.036,-0.152,0.10,-0.01,-9.85,52,-52,8
3358,-0.041,0.036,-0.030,0.10,-0.01,-9.77,49,-51,7
3359,0.020,0.097,-0.030,0.10,-0.01,-9.77,49,-51,7
3360,0.020,0.097,-0.030,0.10,-0.01,-9.77,53,-53,7
3361,-0.041,-0.086,-0.030,0.10,-0.01,-9.77,53,-53,7
3362,-0.041,0.036,0.031,0.03,-0.01,-9.77,48,-50,14
3363,0.020,-0.086,0.031,0.03,-0.01,-9.77,48,-50,14
3364,0.020,0.036,0.031,0.03,-0.01,-9.77,50,-56,10
3365,0.081,0.097,-0.091,0.03,-0.01,-9.77,50,-56,10
3366,0.020,-0.025,-0.030,0.03,-0.01,-9.77,52,-48,6
3367,0.081,-0.086,0.092,0.03,-0.01,-9.77,52,-48,6
3368,0.020,-0.025,0.031,0.10,-0.01,-9.85,46,-52,6
3369,-0.102,0.158,-0.030,0.03,-0.01,-9.85,46,-52,6
3370,0.081,0.036,0.031,0.03,-0.01,-9.85,52,-54,10
3371,0.020,0.036,0.092,0.03,-0.01,-9.85,52,-54,10
3372,-0.041,0.036,0.092,0.03,-0.01,-9.85,48,-52,10
3373,0.020,0.097,0.031,0.03,-0.01,-9.85,48,-52,10
3374,-0.041,-0.086,0.092,0.03,-0.09,-9.85,47,-55,9
3375,0.020,0.097,-0.030,0.03,-0.01,-9.77,47,-55,9
3376,0.020,-0.086,0.154,0.03,-0.01,-9.85,50,-56,14
3377,0.020,-0.025,0.092,-0.05,-0.01,-9.85,50,-56,14
3378,0.142,0.036,0.092,-0.05,-0.01,-9.77,51,-55,11
3379,-0.041,0.158,-0.030,-0.05,-0.01,-9.77,51,-55,11
3380,-0.102,-0.025,0.092,-0.05,-0.01,-9.77,50,-54,6
3381,0.020,0.036,-0.030,-0.05,-0.01,-9.77,50,-54,6
3382,0.020,0.036,0.031,-0.05,-0.01,-9.77,47,-53,7
3383,0.020,0.097,0.031,-0.05,-0.01,-9.77,47,-53,7
3384,-0.041,0.036,-0.030,-0.05,-0.01,-9.77,52,-56,8
3385,-0.041,0.158,0.092,-0.05,-0.01,-9.77,52,-56,8
3386,0.081,0.158,0.092,-0.05,-0.01,-9.77,49,-55,3
3387,-0.041,0.036,0.031,-0.05,-0.01,-9.77,49,-55,3
3388,0.081,-0.147,0.031,-0.05,-0.01,-9.77,50,-54,10
3389,-0.041,0.097,0.031,-0.05,-0.01,-9.77,50,-54,10
3390,-0.041,0.036,0.031,-0.05,-0.01,-9.77,49,-49,7
3391,0.020,0.036,0.031,-0.05,-0.01,-9.77,49,-49,7
3392,-0.041,-0.025,0.031,-0.05,-0.01,-9.77,51,-55,9
3393,-0.041,0.097,0.031,-0.05,-0.01,-9.77,51,-55,9
3394,0.020,-0.025,0.031,-0.05,-0.01,-9.77,48,-50,8
3395,-0.102,0.036,-0.030,-0.05,-0.01,-9.77,48,-50,8
3396,0.020,-0.025,0.031,-0.05,-0.01,-9.77,49,-51,3
3397,-0.041,0.097,-0.030,0.03,-0.01,-9.77,49,-51,3
3398,0.020,-0.086,0.031,-0.05,-0.01,-9.85,47,-59,5
3399,-0.102,-0.025,0.031,-0.05,-0.01,-9.85,47,-59,5
3400,-0.041,0.097,-0.030,-0.05,0.07,-9.85,49,-51,11
3401,0.020,0.097,0.092,-0.05,0.07,-9.85,49,-51,11
3402,0.020,0.036,-0.091,-0.05,0.07,-9.85,49,-55,13
3403,0.081,0.036,0.031,-0.05,-0.01,-9.85,49,-55,13
3404,-0.102,0.097,0.031,-0.05,-0.01,-9.85,49,-53,7
3405,-0.041,-0.025,-0.030,-0.05,0.07,-9.85,49,-53,7
3406,-0.041,-0.025,-0.030,-0.05,-0.01,-9.85,47,-59,5
3407,0.020,0.097,-0.030,-0.05,-0.01,-9.85,47,-59,5
3408,-0.041,-0.025,0.092,-0.05,-0.01,-9.85,47,-51,9
3409,-0.041,-0.086,0.031,-0.05,-0.01,-9.85,47,-51,9
3410,-0.041,-0.147,-0.030,-0.05,-0.01,-9.85,51,-55,5
3411,0.081,0.036,-0.030,-0.05,-0.01,-9.85,51,-55,5
3412,0.081,-0.086,-0.091,-0.05,-0.01,-9.85,50,-54,8
3413,-0.041,-0.086,-0.091,-0.05,-0.01,-9.77,50,-54,8
3414,0.020,0.097,-0.030,-0.05,0.07,-9.77,46,-60,6
3415,0.020,-0.086,-0.091,-0.05,0.07,-9.77,46,-60,6
3416,-0.041,-0.025,0.031,-0.05,0.07,-9.77,50,-58,8
3417,-0.041,0.158,0.092,-0.05,0.07,-9.77,50,-58,8
3418,-0.041,-0.086,-0.030,-0.05,-0.01,-9.77,48,-54,12
3419,0.020,-0.269,-0.091,-0.05,-0.01,-9.77,48,-54,12
3420,0.020,-0.086,0.092,-0.05,-0.01,-9.85,48,-56,8
3421,-0.041,0.097,-0.091,-0.05,-0.01,-9.85,48,-56,8
3422,-0.041,0.097,0.031,-0.05,-0.01,-9.77,50,-52,6
3423,-0.102,-0.025,0.154,-0.05,-0.01,-9.77,50,-52,6
3424,0.020,0.036,-0.030,-0.05,-0.01,-9.77,48,-52,10
3425,0.020,0.036,-0.091,-0.05,-0.01,-9.85,48,-52,10
3426,0.020,0.036,-0.030,-0.05,-0.01,-9.85,49,-53,11
3427,-0.102,-0.025,0.092,-0.05,-0.01,-9.85,49,-53,11
3428,0.020,0.097,-0.030,-0.05,-0.01,-9.77,48,-52,8
3429,-0.041,-0.025,-0.030,-0.05,-0.01,-9.85,48,-52,8
3430,-0.041,0.036,-0.091,-0.05,-0.01,-9.85,46,-54,10
3431,0.081,-0.025,0.031,-0.05,-0.01,-9.85,46,-54,10
3432,0.020,-0.025,-0.091,-0.05,-0.01,-9.85,52,-56,8
3433,0.020,0.036,0.031,-0.05,-0.01,-9.85,52,-56,8
3434,-0.041,0.036,0.092,0.03,-0.01,-9.77,56,-52,4
3435,-0.041,-0.025,0.031,0.03,-0.01,-9.77,56,-52,4
3436,-0.102,0.036,0.031,0.03,-0.01,-9.77,48,-54,8
3437,0.142,-0.025,-0.091,0.03,-0.01,-9.77,48,-54,8
3438,0.020,-0.025,-0.091,0.03,-0.01,-9.77,48,-54,10
3439,-0.041,0.036,0.031,0.03,-0.01,-9.77,48,-54,10
3440,-0.041,-0.025,-0.030,0.03,-0.01,-9.77,46,-52,8
3441,0.081,-0.025,0.031,0.03,-0.01,-9.77,46,-52,8
3442,0.081,-0.025,-0.030,0.03,-0.01,-9.77,49,-57,11
3443,0.142,-0.025,0.031,0.03,-0.01,-9.77,49,-57,11
3444,0.020,-0.025,-0.091,0.03,-0.01,-9.77,55,-55,5
3445,-0.041,0.036,-0.030,0.03,-0.01,-9.85,55,-55,5
3446,-0.102,-0.086,-0.030,0.03,-0.01,-9.85,55,-49,11
3447,0.020,-0.025,0.031,0.03,-0.01,-9.77,55,-49,11
3448,0.020,-0.025,-0.091,0.03,-0.01,-9.85,55,-51,9
3449,-0.041,0.036,0.031,-0.05,-0.01,-9.85,55,-51,9
3450,0.020,-0.086,0.031,0.03,-0.01,-9.85,48,-56,8
3451,-0.041,-0.086,0.031,-0.05,-0.01,-9.85,48,-56,8
3452,-0.041,0.036,0.092,-0.05,-0.01,-9.85,48,-50,8
3453,-0.041,0.097,0.031,-0.05,-0.01,-9.85,48,-50,8
3454,-0.041,0.097,0.031,-0.05,-0.01,-9.85,51,-57,7
3455,-0.041,0.036,-0.030,-0.05,-0.01,-9.85,51,-57,7
3456,0.081,0.097,-0.030,-0.05,-0.01,-9.77,50,-54,8
3457,0.020,0.036,-0.091,-0.05,-0.01,-9.85,50,-54,8
3458,0.020,0.036,-0.030,-0.05,-0.01,-9.85,50,-54,10
3459,-0.041,-0.025,-0.152,-0.05,-0.01,-9.85,50,-54,10
3460,0.020,-0.025,0.092,-0.05,-0.01,-9.85,52,-48,4
3461,-0.102,-0.025,-0.030,-0.05,-0.01,-9.85,52,-48,4
3462,0.142,-0.025,-0.030,-0.05,-0.01,-9.85,51,-51,13
3463,0.020,-0.025,0.092,-0.05,-0.01,-9.85,51,-51,13
3464,0.081,-0.086,0.092,-0.05,-0.01,-9.85,45,-55,9
3465,0.081,-0.025,0.092,-0.05,-0.01,-9.85,45,-55,9
3466,-0.102,0.036,0.092,-0.05,-0.01,-9.85,50,-52,8
3467,0.020,-0.086,-0.030,0.03,-0.01,-9.85,50,-52,8
3468,0.020,-0.025,-0.091,0.03,-0.01,-9.85,49,-55,9
3469,0.020,0.036,0.031,0.03,-0.01,-9.77,49,-55,9
3470,-0.041,-0.025,0.031,0.03,-0.01,-9.77,54,-54,12
3471,-0.041,-0.025,0.031,0.03,-0.01,-9.77,54,-54,12
3472,0.081,-0.086,-0.091,0.03,-0.01,-9.77,54,-50,6
3473,0.020,-0.086,-0.030,0.03,-0.01,-9.85,54,-50,6
3474,0.081,0.036,0.031,0.03,-0.01,-9.77,52,-54,12
3475,0.081,-0.025,-0.030,-0.05,-0.01,-9.85,52,-54,12
3476,0.020,-0.086,0.154,-0.05,-0.01,-9.85,46,-52,10
3477,0.020,-0.025,-0.030,-0.05,-0.01,-9.85,46,-52,10
3478,-0.163,0.036,0.031,0.03,-0.01,-9.85,49,-53,5
3479,0.081,0.036,0.031,0.03,-0.01,-9.85,49,-53,5
3480,0.020,-0.025,0.031,0.03,-0.01,-9.85,46,-52,14
3481,0.081,-0.147,0.031,0.03,-0.01,-9.85,46,-52,14
3482,-0.102,-0.086,-0.030,0.10,-0.01,-9.85,49,-49,7
3483,0.020,-0.086,-0.030,0.10,-0.01,-9.85,49,-49,7
3484,-0.041,-0.025,-0.030,0.10,-0.01,-9.85,50,-52,10
3485,-0.041,0.036,0.092,0.10,-0.01,-9.85,50,-52,10
3486,0.020,0.036,-0.030,0.10,-0.01,-9.85,52,-52,8
3487,0.020,-0.025,-0.030,0.10,-0.01,-9.85,52,-52,8
3488,-0.041,0.036,-0.030,0.03,-0.01,-9.85,51,-51,11
3489,0.020,0.036,-0.030,0.03,-0.01,-9.85,51,-51,11
3490,-0.041,0.036,-0.030,0.03,-0.01,-9.85,52,-54,6
3491,0.020,-0.025,0.092,0.03,-0.01,-9.85,52,-54,6
3492,0.081,-0.025,0.092,0.03,-0.01,-9.85,49,-53,5
3493,0.081,-0.025,0.031,0.03,-0.01,-9.85,49,-53,5
3494,0.020,0.036,0.031,0.03,-0.01,-9.85,54,-52,16
3495,-0.102,0.097,-0.030,0.03,-0.01,-9.93,54,-52,16
3496,0.020,0.036,-0.030,-0.05,-0.01,-9.85,51,-53,9
3497,-0.041,-0.086,-0.030,-0.05,-0.01,-9.85,51,-53,9
3498,-0.102,0.036,0.154,-0.05,-0.01,-9.85,55,-53,11
3499,0.081,0.036,-0.030,0.03,-0.01,-9.85,55,-53,11
3500,-0.041,0.097,0.031,0.03,-0.01,-9.85,51,-55,11
3501,0.020,0.036,-0.091,0.03,-0.01,-9.85,51,-55,11
3502,0.020,0.097,0.031,0.03,-0.01,-9.85,47,-53,11
3503,0.203,0.097,-0.030,0.03,-0.01,-9.77,47,-53,11
3504,-0.041,0.036,0.031,0.03,-0.01,-9.77,53,-51,3
3505,0.020,-0.025,-0.152,0.03,-0.01,-9.85,53,-51,3
3506,0.020,0.097,-0.030,-0.05,-0.01,-9.77,50,-56,12
3507,-0.041,-0.086,0.092,-0.05,-0.01,-9.77,50,-56,12
3508,-0.102,0.036,0.031,-0.05,-0.01,-9.77,48,-54,8
3509,-0.163,-0.025,0.031,-0.05,-0.01,-9.77,48,-54,8
3510,0.020,0.036,0.031,-0.05,-0.01,-9.77,49,-51,5
3511,0.081,-0.086,-0.030,-0.05,-0.01,-9.77,49,-51,5
3512,0.020,-0.025,0.031,-0.05,-0.01,-9.77,47,-51,15
3513,0.142,0.097,0.092,0.03,-0.01,-9.85,47,-51,15
3514,0.081,0.097,0.092,-0.05,-0.01,-9.77,53,-53,11
3515,0.020,-0.025,0.031,-0.05,-0.01,-9.77,53,-53,11
3516,-0.041,-0.086,0.031,-0.05,-0.01,-9.85,53,-47,13
3517,0.020,0.036,0.031,-0.05,-0.01,-9.85,53,-47,13
3518,0.020,0.036,0.031,-0.05,-0.01,-9.85,48,-54,14
3519,0.020,-0.025,-0.091,-0.05,0.07,-9.85,48,-54,14
3520,0.081,-0.025,-0.030,0.03,0.07,-9.85,46,-54,8
3521,0.020,-0.025,0.031,0.03,-0.01,-9.85,46,-54,8
3522,0.020,0.036,0.031,0.03,0.07,-9.85,50,-50,4
3523,-0.102,-0.025,0.031,0.03,0.07,-9.85,50,-50,4
3524,-0.041,-0.025,-0.030,0.03,-0.01,-9.85,51,-53,7
3525,0.020,0.097,0.092,0.03,-0.01,-9.85,51,-53,7
3526,-0.041,0.158,-0.030,0.10,-0.01,-9.85,48,-56,8
3527,0.081,0.036,-0.030,0.10,-0.01,-9.85,48,-56,8
3528,-0.102,0.036,0.154,0.10,-0.01,-9.85,47,-55,9
3529,-0.041,-0.147,0.031,0.10,-0.01,-9.85,47,-55,9
3530,0.081,-0.147,-0.030,0.10,-0.01,-9.85,54,-50,10
3531,0.020,-0.025,-0.030,0.10,-0.01,-9.85,54,-50,10
3532,-0.041,-0.086,-0.091,0.03,-0.01,-9.85,50,-50,6
3533,-0.041,-0.147,0.031,0.03,-0.01,-9.85,50,-50,6
3534,-0.041,-0.025,-0.030,0.03,-0.01,-9.85,50,-52,8
3535,-0.102,-0.025,0.031,0.03,-0.01,-9.85,50,-52,8
3536,0.020,-0.025,-0.152,0.03,-0.01,-9.85,48,-50,10
3537,0.020,0.036,-0.091,0.03,-0.01,-9.77,48,-50,10
3538,0.020,0.036,0.031,0.03,-0.01,-9.85,55,-59,15
3539,0.020,0.036,-0.091,0.03,-0.01,-9.77,55,-59,15
3540,0.020,-0.025,0.031,0.03,-0.01,-9.85,44,-60,8
3541,-0.102,0.036,0.092,0.03,-0.01,-9.85,44,-60,8
3542,-0.041,-0.086,-0.091,0.03,-0.01,-9.77,56,-52,10
3543,0.020,-0.086,0.031,0.03,-0.01,-9.77,56,-52,10
