nr,time,flyState,ax,ay,az,gx,gy,gz,height_speed,set_h,height,throttle,set_pitch,pitch,set_roll,roll,set_yaw,yaw,motval_0,motval_1, motval_2,motval_3,hor_xv,hor_yv, hor_dt,hor_seqNum,xPos,yPos,targetXVel,targetYVel,targetPitch, targetRoll, adj_pitch, adj_roll, adj_yaw, adj_h
34,946684902.464416,1,0.018393,0.017628,-9.803100,0.000000,0.013428,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001610,0.000000,0.001163,0.000000,-0.015188,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,946684902.464660,1,0.018393,0.017628,-9.803100,0.000000,0.074465,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001687,0.000000,0.001219,0.000000,-0.015198,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,946684902.464874,1,0.018393,0.017628,-9.803100,0.000000,0.013428,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001748,0.000000,0.001275,0.000000,-0.015207,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,946684902.465087,1,0.018393,0.017628,-9.803100,0.000000,0.013428,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001810,0.000000,0.001332,0.000000,-0.015203,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,946684902.465301,1,0.018393,0.017628,-9.803100,0.000000,0.135502,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001897,0.000000,0.001388,0.000000,-0.015211,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,946684902.465515,1,0.018393,0.017628,-9.803100,0.000000,0.074465,0.141606,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001971,0.000000,0.001444,0.000000,-0.015181,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,946684902.465789,1,0.018393,0.017628,-9.803100,0.061037,0.013428,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.002034,0.000000,0.001517,0.000000,-0.015193,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,946684902.466735,1,0.018393,0.017628,-9.803100,0.000000,0.074465,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.002162,0.000000,0.001574,0.000000,-0.015174,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,946684902.467010,1,0.018393,0.017628,-9.803100,0.061037,0.074465,-0.102542,-0.004250,0.000000,0.299200,0.000000,0.000000,0.002241,0.000000,0.001647,0.000000,-0.015202,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,946684902.470397,1,0.018393,0.017628,-9.803100,0.061037,0.135502,0.080569,-0.004250,0.000000,0.299200,0.000000,0.000000,0.002758,0.000000,0.001910,0.000000,-0.014929,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,946684902.470642,1,0.018393,0.017628,-9.803100,0.000000,0.074465,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002835,0.000000,0.001967,0.000000,-0.014925,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,946684902.470886,1,0.018393,0.017628,-9.803100,0.000000,0.074465,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002912,0.000000,0.002023,0.000000,-0.014920,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,946684902.471099,1,-0.058248,0.017628,-9.879741,-0.061037,-0.169683,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.002685,0.000000,0.002066,0.000000,-0.014942,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,946684902.471374,1,-0.058248,-0.059012,-9.879741,-0.061037,0.013428,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002498,0.000000,0.001857,0.000000,-0.014936,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,946684902.471649,1,0.018393,0.017628,-9.879741,0.061037,-0.108646,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002527,0.000000,0.001930,0.000000,-0.014931,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,946684902.471954,1,0.018393,0.017628,-9.879741,0.000000,-0.047609,0.080569,0.000000,0.000000,0.299200,0.000000,0.000000,0.002571,0.000000,0.001986,0.000000,-0.014906,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
