ax,ay,az,gx,gy,gz,mx,my,mz
0.057,0.021,9.830,-0.04,-0.01,+0.04,30,-72,30
0.057,0.021,9.830,+0.02,-0.01,-0.08,30,-72,30
0.057,0.021,9.830,+0.08,-0.01,-0.08,31,-73,33
0.057,0.021,9.830,+0.02,+0.12,+0.04,31,-73,33
0.057,0.021,9.830,-0.10,+0.06,-0.02,33,-71,33
0.057,0.021,9.830,+0.02,+0.12,-0.02,33,-71,33
0.057,0.021,9.830,+0.02,+0.06,-0.08,36,-72,28
0.057,0.021,9.830,+0.14,-0.01,-0.08,36,-72,28
0.057,0.021,9.830,+0.08,+0.06,+0.04,36,-72,26
0.057,0.021,9.830,+0.02,+0.06,+0.04,36,-72,26
0.057,0.021,9.830,+0.02,-0.01,-0.02,35,-69,31
0.057,0.021,9.830,-0.04,-0.01,-0.02,35,-69,31
0.057,0.021,9.830,-0.04,+0.06,+0.10,33,-73,29
-0.020,0.021,9.830,+0.02,-0.13,+0.04,33,-73,29
-0.020,0.021,9.830,-0.04,+0.12,+0.10,36,-76,34
-0.020,0.021,9.830,-0.04,+0.06,+0.10,36,-76,34
-0.020,0.021,9.830,-0.04,+0.12,-0.02,36,-72,24
0.057,0.021,9.830,+0.02,-0.01,-0.02,36,-72,24
-0.020,0.021,9.830,-0.10,-0.01,-0.08,37,-61,29
-0.020,0.021,9.830,-0.04,+0.06,-0.02,37,-61,29
-0.020,0.021,9.830,+0.02,-0.25,+0.04,31,-69,25
-0.020,0.021,9.830,-0.10,+0.06,+0.10,31,-69,25
-0.020,0.021,9.830,+0.02,-0.07,-0.02,35,-73,23
-0.020,0.021,9.830,-0.10,-0.07,-0.08,35,-73,23
-0.020,0.021,9.830,-0.04,-0.01,-0.02,34,-70,30
-0.020,0.021,9.830,-0.04,+0.06,-0.08,34,-70,30
-0.020,0.021,9.830,-0.10,-0.01,-0.02,36,-70,30
-0.020,0.021,9.830,+0.02,+0.06,+0.10,36,-70,30
0.057,0.021,9.830,-0.04,-0.07,+0.04,37,-73,27
0.057,0.021,9.830,+0.02,-0.01,-0.02,37,-73,27
0.057,0.021,9.830,-0.10,-0.01,-0.08,33,-71,29
0.057,0.021,9.830,-0.10,-0.01,+0.04,33,-71,29
0.057,0.021,9.830,-0.04,-0.07,-0.08,33,-73,27
0.057,0.021,9.830,-0.04,+0.12,+0.10,33,-73,27
0.057,0.021,9.830,-0.10,-0.01,+0.04,38,-76,28
0.057,0.021,9.830,-0.04,+0.06,+0.04,38,-76,28
0.057,0.021,9.830,+0.02,-0.07,-0.02,36,-74,28
0.057,0.021,9.830,-0.04,-0.01,-0.08,36,-74,28
0.057,0.021,9.830,-0.04,+0.12,+0.10,34,-76,30
-0.020,0.021,9.830,+0.02,+0.18,+0.04,34,-76,30
-0.020,0.021,9.830,+0.02,-0.13,+0.04,39,-75,27
-0.020,0.021,9.830,-0.04,-0.07,+0.04,39,-75,27
-0.020,0.021,9.830,+0.02,+0.06,+0.04,29,-71,23
-0.020,0.021,9.830,-0.04,+0.06,-0.02,29,-71,23
-0.020,0.021,9.830,+0.02,-0.01,+0.10,34,-72,30
-0.020,0.021,9.830,+0.08,+0.12,-0.02,34,-72,30
-0.020,0.097,9.830,+0.02,-0.07,-0.08,28,-76,28
-0.020,0.097,9.830,-0.04,-0.01,+0.04,28,-76,28
-0.020,0.021,9.830,-0.04,-0.01,-0.02,35,-75,29
0.057,0.021,9.830,+0.02,-0.07,-0.02,35,-75,29
0.057,0.021,9.830,+0.02,-0.13,+0.04,35,-71,27
0.057,0.021,9.753,+0.02,+0.06,-0.02,35,-71,27
0.057,0.021,9.830,-0.10,-0.01,-0.02,34,-72,30
0.057,0.021,9.830,+0.02,+0.12,+0.04,34,-72,30
0.057,0.021,9.830,-0.04,+0.06,-0.02,35,-77,29
0.057,0.021,9.830,-0.04,-0.01,-0.02,35,-77,29
0.057,0.021,9.830,+0.02,-0.07,-0.02,30,-72,24
0.057,0.021,9.830,-0.04,+0.06,+0.04,30,-72,24
0.057,0.021,9.830,+0.02,-0.13,-0.02,38,-78,32
0.057,0.021,9.830,-0.10,-0.01,+0.04,38,-78,32
0.057,0.021,9.830,+0.02,-0.07,-0.02,33,-67,29
0.057,0.021,9.830,+0.02,-0.01,+0.04,33,-67,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,29,-71,29
-0.020,0.021,9.830,-0.04,+0.06,-0.02,29,-71,29
-0.020,0.021,9.830,+0.02,+0.12,-0.02,33,-73,29
-0.020,0.021,9.830,+0.08,+0.06,+0.04,33,-73,29
-0.020,0.021,9.830,+0.08,+0.18,-0.02,33,-69,29
-0.020,0.021,9.830,-0.10,+0.06,-0.08,33,-69,29
-0.020,0.021,9.830,+0.02,+0.06,-0.02,30,-74,26
-0.020,0.021,9.830,-0.04,-0.01,-0.14,30,-74,26
-0.020,0.021,9.830,+0.02,+0.06,+0.04,39,-69,29
-0.020,0.021,9.830,-0.04,+0.06,-0.08,39,-69,29
-0.020,0.021,9.830,+0.02,+0.12,-0.08,31,-75,27
-0.020,0.021,9.830,+0.02,+0.06,+0.10,31,-75,27
-0.020,0.021,9.830,+0.02,-0.01,-0.02,33,-73,31
-0.020,0.021,9.830,+0.02,-0.07,+0.10,33,-73,31
-0.020,-0.056,9.830,+0.14,-0.01,-0.02,37,-77,27
-0.020,0.021,9.830,-0.04,+0.06,+0.10,37,-77,27
0.057,-0.056,9.830,-0.04,+0.06,-0.08,34,-68,34
0.057,0.021,9.830,-0.04,+0.06,-0.08,34,-68,34
0.057,0.021,9.830,+0.02,+0.12,-0.14,31,-73,29
0.057,0.021,9.830,+0.08,+0.12,+0.10,31,-73,29
-0.020,0.021,9.830,+0.08,+0.12,-0.02,34,-72,26
-0.020,0.021,9.830,+0.02,-0.01,+0.04,34,-72,26
-0.020,0.021,9.830,+0.08,-0.01,-0.02,30,-70,28
-0.020,0.021,9.830,-0.04,+0.12,-0.02,30,-70,28
-0.020,0.021,9.830,-0.04,-0.01,+0.04,25,-73,31
0.057,0.021,9.830,+0.02,-0.01,-0.02,25,-73,31
-0.020,0.021,9.830,-0.04,-0.01,-0.14,33,-69,23
-0.020,0.021,9.830,+0.02,-0.07,+0.10,33,-69,23
0.057,0.021,9.830,+0.02,-0.01,+0.10,32,-72,26
0.057,0.021,9.830,-0.04,+0.12,+0.04,32,-72,26
-0.020,0.021,9.830,+0.02,-0.01,+0.04,32,-70,30
-0.020,0.021,9.830,+0.08,+0.06,+0.04,32,-70,30
-0.020,0.021,9.830,+0.02,+0.06,+0.10,37,-79,29
-0.020,0.021,9.830,+0.08,+0.12,-0.08,37,-79,29
-0.020,0.021,9.830,+0.02,+0.06,-0.02,29,-77,33
0.057,0.021,9.830,-0.04,-0.01,-0.02,29,-77,33
-0.020,0.021,9.830,-0.16,-0.07,-0.02,36,-68,28
-0.020,0.021,9.830,+0.08,+0.12,+0.04,36,-68,28
-0.020,0.021,9.830,-0.04,-0.07,-0.08,36,-78,30
-0.020,0.097,9.830,-0.04,+0.06,-0.02,36,-78,30
-0.020,0.021,9.830,+0.02,+0.06,-0.08,35,-71,27
-0.020,0.021,9.830,+0.02,-0.13,+0.04,35,-71,27
-0.020,0.021,9.830,+0.08,+0.06,-0.02,40,-72,26
-0.020,0.021,9.830,+0.02,-0.07,-0.02,40,-72,26
-0.020,0.021,9.830,+0.02,-0.07,+0.04,31,-69,29
-0.020,0.021,9.830,+0.02,-0.01,+0.04,31,-69,29
-0.020,0.021,9.830,+0.02,-0.01,+0.10,33,-77,27
-0.020,0.021,9.830,-0.04,-0.01,-0.08,33,-77,27
-0.020,0.021,9.830,-0.10,+0.06,+0.16,33,-73,29
-0.020,0.021,9.830,+0.02,+0.06,+0.04,33,-73,29
-0.020,0.021,9.830,-0.04,+0.18,+0.10,35,-71,31
-0.020,0.021,9.830,+0.02,-0.01,+0.04,35,-71,31
-0.020,0.021,9.830,-0.04,+0.12,-0.02,33,-71,35
-0.020,0.021,9.830,+0.08,-0.01,-0.02,33,-71,35
-0.020,0.021,9.830,+0.02,+0.12,-0.02,34,-70,30
-0.020,-0.056,9.830,-0.04,-0.01,-0.02,34,-70,30
-0.020,-0.056,9.830,+0.02,+0.12,-0.08,35,-73,27
-0.020,0.021,9.830,-0.04,+0.06,-0.02,35,-73,27
-0.020,0.021,9.830,+0.08,-0.07,-0.08,38,-70,24
-0.020,-0.056,9.830,-0.04,-0.07,+0.04,38,-70,24
-0.020,-0.056,9.830,+0.02,-0.07,-0.02,34,-76,30
-0.020,0.021,9.830,+0.02,+0.18,-0.02,34,-76,30
-0.020,0.021,9.830,+0.02,-0.01,-0.08,34,-66,32
-0.020,0.021,9.830,+0.08,+0.06,-0.02,34,-66,32
-0.020,0.021,9.830,+0.02,-0.01,+0.10,38,-76,30
-0.020,0.021,9.830,+0.02,-0.01,+0.04,38,-76,30
-0.020,0.021,9.830,-0.04,-0.01,-0.02,35,-71,29
-0.020,0.021,9.830,+0.02,+0.06,-0.02,35,-71,29
0.057,0.021,9.830,+0.02,+0.06,-0.02,29,-73,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,29,-73,29
0.057,0.021,9.830,+0.08,-0.07,-0.02,32,-74,28
0.057,0.021,9.830,+0.08,-0.07,-0.02,32,-74,28
0.057,0.021,9.830,-0.04,-0.01,+0.04,31,-71,25
0.057,0.021,9.830,-0.04,-0.13,+0.04,31,-71,25
0.057,0.021,9.830,+0.02,-0.01,-0.02,35,-71,27
0.057,0.021,9.830,+0.14,-0.01,+0.04,35,-71,27
0.057,0.021,9.830,+0.02,+0.06,+0.04,35,-69,31
0.057,0.021,9.753,-0.10,+0.06,-0.02,35,-69,31
0.057,0.021,9.753,+0.02,-0.01,+0.10,42,-70,30
